scenario,individual_id,introgressed_windows,introgressed_fraction,tract_count,mean_tract_length
one_pulse,0,5067,0.1689,62,80699.70967741935
one_pulse,1,5850,0.195,65,89044.89230769231
one_pulse,2,5432,0.18106666666666665,57,94364.61403508772
one_pulse,3,4766,0.15886666666666666,69,68108.84057971014
one_pulse,4,5566,0.18553333333333333,71,77391.21126760563
one_pulse,5,5859,0.1953,57,101828.77192982456
one_pulse,6,4976,0.16586666666666666,72,68065.26388888889
one_pulse,7,4884,0.1628,72,66826.95833333333
one_pulse,8,6081,0.2027,77,77938.18181818182
one_pulse,9,5027,0.16756666666666667,68,72975.60294117648
one_pulse,10,5732,0.19106666666666666,59,96174.66101694915
one_pulse,11,5497,0.18323333333333333,59,92237.57627118644
one_pulse,12,5242,0.17473333333333332,61,85007.55737704918
one_pulse,13,4971,0.1657,72,68067.84722222222
one_pulse,14,4671,0.1557,64,71991.03125
one_pulse,15,4419,0.1473,57,76546.47368421052
one_pulse,16,4861,0.16203333333333333,64,75067.09375
one_pulse,17,5360,0.17866666666666667,62,85513.67741935483
one_pulse,18,5352,0.1784,75,70328.57333333333
one_pulse,19,5053,0.16843333333333332,59,84680.72881355933
one_pulse,20,5933,0.19776666666666667,69,85001.13043478261
one_pulse,21,5717,0.19056666666666666,62,91301.3870967742
one_pulse,22,5941,0.19803333333333334,68,86382.04411764706
one_pulse,23,5499,0.1833,62,87706.80645161291
one_pulse,24,5378,0.17926666666666666,65,81833.67692307693
one_pulse,25,4964,0.16546666666666668,65,75427.44615384615
one_pulse,26,5524,0.18413333333333334,75,72685.48
one_pulse,27,4880,0.16266666666666665,61,79004.18032786885
one_pulse,28,5515,0.18383333333333332,70,77833.24285714286
one_pulse,29,5596,0.18653333333333333,76,72679.53947368421
one_pulse,30,5009,0.16696666666666668,63,78590.19047619047
one_pulse,31,5027,0.16756666666666667,63,78829.69841269842
one_pulse,32,4990,0.16633333333333333,66,74684.9696969697
one_pulse,33,5241,0.1747,61,84933.81967213115
one_pulse,34,5062,0.16873333333333335,64,78091.640625
one_pulse,35,4706,0.15686666666666665,67,69288.76119402985
one_pulse,36,5881,0.19603333333333334,67,86779.28358208956
one_pulse,37,5314,0.17713333333333334,66,79518.48484848485
one_pulse,38,5229,0.1743,67,77040.88059701493
one_pulse,39,4793,0.15976666666666667,58,81624.13793103448
one_pulse,40,5427,0.1809,75,71307.44
one_pulse,41,5023,0.16743333333333332,58,85597.81034482758
one_pulse,42,4709,0.15696666666666667,62,74980.06451612903
one_pulse,43,5294,0.17646666666666666,64,81772.21875
one_pulse,44,4955,0.16516666666666666,65,75295.64615384616
one_pulse,45,5663,0.18876666666666667,69,81044.17391304347
one_pulse,46,5573,0.18576666666666666,69,79821.0579710145
one_pulse,47,4847,0.16156666666666666,51,94056.03921568628
one_pulse,48,5368,0.17893333333333333,62,85627.66129032258
one_pulse,49,4893,0.1631,67,72131.41791044777
one_pulse,50,5332,0.17773333333333333,67,78648.05970149254
one_pulse,51,5319,0.1773,60,87678.86666666667
one_pulse,52,4883,0.16276666666666667,65,74158.13846153846
one_pulse,53,5195,0.17316666666666666,61,84249.18032786885
one_pulse,54,4880,0.16266666666666665,71,67701.40845070423
one_pulse,55,4726,0.15753333333333333,58,80544.63793103448
one_pulse,56,5166,0.1722,66,77204.42424242424
one_pulse,57,5501,0.18336666666666668,66,82387.66666666667
one_pulse,58,5186,0.17286666666666667,81,63061.67901234568
one_pulse,59,5588,0.18626666666666666,61,90645.26229508196
one_pulse,60,4675,0.15583333333333332,66,69870.98484848485
one_pulse,61,6593,0.21976666666666667,68,96062.89705882352
one_pulse,62,5846,0.19486666666666666,60,96474.8
one_pulse,63,4513,0.15043333333333334,60,74175.48333333334
one_pulse,64,4593,0.1531,59,76916.40677966102
one_pulse,65,5204,0.17346666666666666,67,76731.19402985074
one_pulse,66,4268,0.14226666666666668,59,71354.7627118644
one_pulse,67,4468,0.14893333333333333,63,69985.1746031746
one_pulse,68,5720,0.19066666666666668,71,79588.9014084507
one_pulse,69,5499,0.1833,67,81060.82089552238
one_pulse,70,5514,0.1838,59,92523.8813559322
one_pulse,71,5299,0.17663333333333334,65,80620.01538461538
one_pulse,72,5662,0.18873333333333334,59,95035.94915254238
one_pulse,73,5445,0.1815,65,82832.96923076923
one_pulse,74,5821,0.19403333333333334,62,92930.43548387097
one_pulse,75,5558,0.18526666666666666,74,74200.33783783784
one_pulse,76,5212,0.17373333333333332,68,75659.64705882352
one_pulse,77,5526,0.1842,68,80236.13235294117
one_pulse,78,4276,0.14253333333333335,59,71509.10169491525
one_pulse,79,4738,0.15793333333333334,65,71870.36923076923
one_pulse,80,5260,0.17533333333333334,67,77589.46268656716
one_pulse,81,5469,0.1823,63,85838.03174603175
one_pulse,82,7050,0.235,77,90607.85714285714
one_pulse,83,5381,0.17936666666666667,65,81816.63076923077
one_pulse,84,5321,0.17736666666666667,60,87661.08333333333
one_pulse,85,4723,0.15743333333333334,62,75191.0
one_pulse,86,4936,0.16453333333333334,69,70579.66666666667
one_pulse,87,5594,0.18646666666666667,70,78936.04285714286
one_pulse,88,4658,0.15526666666666666,66,69617.09090909091
